transformation,dataset,model,accuracy
white_noise,suno_lara_cros_vila,cnn_lara_dataset,74.02
white_noise,suno_lara_cros_vila,cnn_sonics,0.0
white_noise,suno_lara_cros_vila,svm_lara,20.3
white_noise,suno_lara_cros_vila,rf_lara,16.8
white_noise,suno_lara_cros_vila,knn_lara,25.6
white_noise,suno_lara_cros_vila,deezer,23.47
white_noise,real_lara_cros_vila,sonics_alpha_5s,99.91
white_noise,real_lara_cros_vila,sonics_beta_5s,100
white_noise,real_lara_cros_vila,sonics_gamma_5s,99.91
white_noise,real_lara_cros_vila,sonics_alpha_120s,100
white_noise,real_lara_cros_vila,sonics_beta_120s,100
white_noise,real_lara_cros_vila,sonics_gamma_120s,99.91
white_noise,real_lara_cros_vila,cnn_lara_dataset,100
white_noise,real_lara_cros_vila,cnn_sonics,100
white_noise,real_lara_cros_vila,svm_lara,44.7
white_noise,real_lara_cros_vila,rf_lara,28.6
white_noise,real_lara_cros_vila,knn_lara,48.0
white_noise,real_lara_cros_vila,deezer,58.38
white_noise,fake_sonics,sonics_alpha_5s,70.7
white_noise,fake_sonics,sonics_beta_5s,58.31
white_noise,fake_sonics,sonics_gamma_5s,56.74
white_noise,fake_sonics,sonics_alpha_120s,95.12
white_noise,fake_sonics,sonics_beta_120s,92.21
white_noise,fake_sonics,sonics_gamma_120s,97.99
white_noise,fake_sonics,cnn_lara_dataset,0.0
white_noise,fake_sonics,cnn_sonics,100
white_noise,fake_sonics,svm_lara,8.7
white_noise,fake_sonics,rf_lara,13.4
white_noise,fake_sonics,knn_lara,23.3
white_noise,fake_sonics,deezer,37.5
white_noise,real_sonics,sonics_alpha_5s,80.94
white_noise,real_sonics,sonics_beta_5s,90.3
white_noise,real_sonics,sonics_gamma_5s,93.28
white_noise,real_sonics,sonics_alpha_120s,90.65
white_noise,real_sonics,sonics_beta_120s,97.84
white_noise,real_sonics,sonics_gamma_120s,89.07
white_noise,real_sonics,cnn_lara_dataset,100
white_noise,real_sonics,cnn_sonics,100
white_noise,real_sonics,svm_lara,21.4
white_noise,real_sonics,rf_lara,5.8
white_noise,real_sonics,knn_lara,9.2
white_noise,real_sonics,deezer,59.23
